phi_i theta_i phi_o theta_o brdf
60.0 -180.0 60.8 0.0 3419.0
60.0 -180.0 61.0 0.0 748.0
60.0 -180.0 61.2 0.0 904.0
60.0 -180.0 61.7 0.0 727.9
60.0 -180.0 62.2 0.0 257.2
60.0 -180.0 62.7 0.0 168.9
60.0 -180.0 63.2 0.0 59.8
60.0 -180.0 65.2 0.0 25.88
60.0 -180.0 67.2 0.0 9.855
60.0 -180.0 69.2 0.0 7.628
60.0 -180.0 71.2 0.0 4.689
60.0 -180.0 73.2 0.0 4.49
60.0 -180.0 75.2 0.0 3.457
60.0 -180.0 77.2 0.0 1.915
60.0 -180.0 79.2 0.0 1.542
60.0 -180.0 81.2 0.0 2.001
60.0 -180.0 83.2 0.0 0.8964
60.0 -180.0 85.2 0.0 0.5206
60.0 -180.0 87.2 0.0 0.5655
75.0 -180.0 -89.0 0.0 0.00181
75.0 -180.0 -87.0 0.0 0.004354
75.0 -180.0 -85.0 0.0 0.006532
75.0 -180.0 -83.0 0.0 0.007992
75.0 -180.0 -81.0 0.0 0.006226
75.0 -180.0 -67.0 0.0 0.009603
75.0 -180.0 -65.0 0.0 0.00941
75.0 -180.0 -63.0 0.0 0.009269
75.0 -180.0 -61.0 0.0 0.009264
75.0 -180.0 -59.0 0.0 0.009175
75.0 -180.0 -57.0 0.0 0.008976
75.0 -180.0 -55.0 0.0 0.008808
75.0 -180.0 -53.0 0.0 0.008903
75.0 -180.0 -51.0 0.0 0.008568
75.0 -180.0 -49.0 0.0 0.008507
75.0 -180.0 -47.0 0.0 0.008388
75.0 -180.0 -45.0 0.0 0.008388
75.0 -180.0 -43.0 0.0 0.008374
75.0 -180.0 -41.0 0.0 0.008308
75.0 -180.0 -39.0 0.0 0.008442
75.0 -180.0 -37.0 0.0 0.008459
75.0 -180.0 -35.0 0.0 0.008555
75.0 -180.0 -33.0 0.0 0.008452
75.0 -180.0 -31.0 0.0 0.00865
75.0 -180.0 -29.0 0.0 0.008698
75.0 -180.0 -27.0 0.0 0.008971
75.0 -180.0 -25.0 0.0 0.008737
75.0 -180.0 -23.0 0.0 0.009205
75.0 -180.0 -21.0 0.0 0.009448
75.0 -180.0 -19.0 0.0 0.009837
75.0 -180.0 -17.0 0.0 0.01045
75.0 -180.0 -15.0 0.0 0.01133
75.0 -180.0 -13.0 0.0 0.0119
75.0 -180.0 -11.0 0.0 0.01232
75.0 -180.0 -9.0 0.0 0.01226
75.0 -180.0 -1.0 0.0 0.01394
75.0 -180.0 1.0 0.0 0.01481
75.0 -180.0 3.0 0.0 0.01449
75.0 -180.0 5.0 0.0 0.0147
75.0 -180.0 7.0 0.0 0.01555
75.0 -180.0 9.0 0.0 0.01665
75.0 -180.0 11.0 0.0 0.01757
75.0 -180.0 13.0 0.0 0.01899
75.0 -180.0 15.0 0.0 0.02017
75.0 -180.0 17.0 0.0 0.02139
75.0 -180.0 19.0 0.0 0.02323
75.0 -180.0 21.0 0.0 0.02548
75.0 -180.0 23.0 0.0 0.02787
75.0 -180.0 25.0 0.0 0.03009
75.0 -180.0 27.0 0.0 0.03278
75.0 -180.0 29.0 0.0 0.03704
75.0 -180.0 31.0 0.0 0.04062
75.0 -180.0 33.0 0.0 0.04533
75.0 -180.0 35.0 0.0 0.04956
75.0 -180.0 37.0 0.0 0.05425
75.0 -180.0 39.0 0.0 0.06287
75.0 -180.0 41.0 0.0 0.07229
75.0 -180.0 43.0 0.0 0.08275
75.0 -180.0 45.0 0.0 0.09975
75.0 -180.0 47.0 0.0 0.1195
75.0 -180.0 49.0 0.0 0.1566
75.0 -180.0 51.0 0.0 0.2069
75.0 -180.0 53.0 0.0 0.3319
75.0 -180.0 55.0 0.0 0.5805
75.0 -180.0 57.0 0.0 1.021
75.0 -180.0 59.0 0.0 1.5
75.0 -180.0 61.0 0.0 2.768
75.0 -180.0 63.0 0.0 3.255
75.0 -180.0 65.0 0.0 7.164
75.0 -180.0 67.0 0.0 9.882
75.0 -180.0 69.0 0.0 18.57
75.0 -180.0 71.0 0.0 110.4
75.0 -180.0 71.5 0.0 332.4
75.0 -180.0 72.0 0.0 181.9
75.0 -180.0 72.5 0.0 233.0
75.0 -180.0 73.0 0.0 1125.0
75.0 -180.0 73.5 0.0 1698.0
75.0 -180.0 74.0 0.0 2992.0
75.0 -180.0 74.2 0.0 4283.0
75.0 -180.0 74.4 0.0 4289.0
75.0 -180.0 74.6 0.0 5245.0
75.0 -180.0 74.8 0.0 21210.0
75.0 -180.0 75.0 0.0 24000.0
75.0 -180.0 75.2 0.0 23940.0
75.0 -180.0 75.4 0.0 11310.0
75.0 -180.0 75.6 0.0 6222.0
75.0 -180.0 75.8 0.0 13970.0
75.0 -180.0 76.0 0.0 5215.0
75.0 -180.0 76.2 0.0 2251.0
75.0 -180.0 76.7 0.0 2116.0
75.0 -180.0 77.2 0.0 1204.0
75.0 -180.0 77.7 0.0 772.7
75.0 -180.0 78.2 0.0 285.5
75.0 -180.0 78.7 0.0 179.8
75.0 -180.0 79.2 0.0 140.2
75.0 -180.0 79.7 0.0 108.4
75.0 -180.0 80.2 0.0 32.76
75.0 -180.0 82.2 0.0 15.62
75.0 -180.0 84.2 0.0 6.729
75.0 -180.0 86.2 0.0 5.86
75.0 -180.0 88.2 0.0 2.895
